country,svensk-folk-swedish-alt-country,brit-pop-rock-piano-post,roll-oldies-60s-heavy-70s,60s-oldies-motown-50s-40s,indietronica-folk-revival-post-punk,r'n'b-hop-hip-r&b-urban,house-tropical-electro-dj-kygo,east-rap-coast-hop-hip,metal-grunge-screamo-nu-heavy,skitz0rz-sunflower-factor-bitch-uitluisteren,minimal-trip-hop-idm-techno
CYP,0,1,15,2,10,0,3,1,9,7,1
BRB,0,2,3,7,1,9,3,7,2,15,0
BTN,4,2,0,0,24,2,1,1,3,6,6
LTU,1,2,11,1,13,0,3,1,7,6,5
MNG,0,3,3,1,14,0,1,8,1,4,13
AND,1,1,8,2,20,0,0,1,5,4,8
EGY,1,3,10,1,8,0,6,4,5,8,0
RWA,0,2,3,2,11,6,2,11,4,7,0
ARG,0,3,9,1,12,0,2,2,9,3,5
NOR,0,1,9,1,8,1,8,5,2,13,1
BHR,1,4,5,2,8,2,4,6,1,16,1
AUS,0,1,5,1,16,0,3,5,5,10,3
CUB,0,2,4,1,6,3,4,5,11,12,2
ZMB,0,1,1,1,15,2,1,7,5,17,0
GTM,0,3,10,1,10,0,4,2,12,6,0
ZWE,3,3,3,4,6,7,2,3,2,17,0
BEL,0,1,12,2,14,0,2,4,5,6,3
HTI,0,4,1,1,11,3,5,3,1,16,3
KAZ,0,4,5,0,13,0,1,2,12,6,4
SMR,0,2,9,0,14,0,0,0,17,3,5
MRT,2,0,9,11,10,0,0,2,2,0,5
KGZ,0,1,9,0,9,0,0,1,16,1,4
NLD,1,3,9,3,12,1,6,2,4,7,0
DNK,0,3,9,3,3,2,6,3,3,15,1
PHL,0,6,1,0,4,2,7,3,2,24,0
DJI,0,0,16,0,8,0,0,4,16,2,0
MDA,0,2,10,0,10,0,1,2,12,6,4
LVA,0,1,8,0,15,0,2,4,9,7,3
HRV,0,1,14,0,14,0,0,1,8,6,6
CHE,2,2,9,3,10,0,7,2,4,8,3
BGR,0,2,11,1,6,0,2,3,15,6,4
JAM,0,3,0,2,2,13,5,8,0,16,0
ALB,0,2,7,2,17,0,0,4,3,8,7
HND,0,3,8,0,9,0,6,4,6,8,3
LBN,2,1,10,2,14,0,2,4,3,6,3
MYS,0,6,2,1,8,2,5,4,4,18,0
MOZ,1,2,13,2,9,1,0,3,8,4,5
GRC,0,1,14,1,12,0,0,1,5,6,9
NIC,1,2,5,1,10,0,6,2,2,18,1
CAN,0,1,7,1,14,0,2,5,8,11,0
AFG,0,1,8,1,15,1,1,3,6,5,9
QAT,1,4,6,2,13,0,4,3,2,14,1
PLW,1,5,1,1,6,2,2,9,2,18,2
TKM,0,2,5,0,9,0,1,1,22,0,6
GNQ,1,1,0,0,1,0,0,0,0,0,0
SDN,0,2,0,2,5,6,2,9,2,18,1
KWT,0,2,1,2,2,3,8,4,1,27,0
PAN,0,3,6,1,7,1,7,3,8,13,0
NPL,0,5,16,0,4,0,0,1,16,5,0
LUX,1,3,12,1,12,0,5,1,6,5,4
NAM,0,3,9,0,8,1,4,3,15,3,4
VEN,0,3,5,1,10,1,4,3,7,14,1
ARE,1,2,5,1,11,1,7,5,4,13,0
GUY,0,2,1,0,6,4,2,9,10,15,0
KNA,1,3,7,2,7,5,0,7,3,11,2
TTO,0,3,1,1,5,3,5,10,1,20,1
CHN,0,3,3,1,4,3,5,4,1,23,0
ARM,1,3,15,1,11,0,0,2,8,4,3
THA,0,4,3,1,11,1,7,2,4,17,0
IRQ,1,3,10,0,4,2,6,4,1,16,2
BGD,0,5,11,1,7,0,3,3,10,7,0
UKR,0,2,8,0,14,0,0,2,11,5,5
OMN,1,4,3,1,16,1,5,4,3,10,1
FIN,0,1,6,1,3,0,5,3,5,6,0
MKD,0,1,11,1,10,0,0,1,7,5,13
MUS,1,2,5,1,7,2,5,4,4,16,1
ATG,0,3,0,1,3,7,5,6,0,25,0
EST,0,2,7,1,15,0,5,3,5,8,4
DOM,0,2,5,1,11,1,6,4,5,10,2
PAK,1,3,9,2,10,1,6,4,4,8,0
ROU,1,2,8,1,13,0,3,4,7,6,5
SYC,1,3,7,4,9,1,0,0,8,11,2
CZE,0,2,11,1,12,0,1,1,10,7,5
MMR,0,3,1,0,7,1,3,4,12,7,11
TUN,0,1,11,2,9,0,3,5,2,6,11
USA,0,1,8,1,15,0,3,6,5,9,1
AUT,1,2,8,0,14,0,2,2,10,6,3
HUN,0,2,7,1,11,0,6,4,8,7,4
COL,0,3,9,1,15,0,3,2,7,4,2
AGO,0,2,1,2,4,5,6,5,2,23,0
NZL,0,1,6,1,13,0,3,6,7,9,3
FJI,0,2,2,2,13,1,4,6,1,15,3
TUR,1,2,9,3,11,0,2,2,3,6,6
GBR,0,2,9,3,13,0,2,3,6,7,4
SAU,1,3,3,1,8,1,6,5,1,21,0
BLZ,0,3,10,2,12,1,2,1,10,8,0
TCD,0,1,9,1,14,0,0,1,3,3,11
URY,0,3,10,1,12,0,3,2,7,7,2
FRA,0,2,7,4,16,0,3,4,4,5,5
BHS,0,2,1,1,4,8,3,10,0,21,0
SVK,0,2,9,1,13,0,1,1,9,6,6
PER,0,3,7,1,13,0,3,2,7,9,3
NGA,0,2,0,1,2,6,4,16,1,12,0
BOL,0,3,10,1,11,0,3,1,12,6,2
MWI,0,1,2,2,1,3,2,23,4,10,0
ECU,0,3,11,1,11,0,4,2,7,6,2
ISR,0,2,11,1,14,0,0,5,8,5,4
SWZ,0,1,0,1,2,9,6,5,0,10,7
DZA,1,4,9,2,7,0,5,4,6,9,1
SRB,0,1,11,2,11,0,1,2,6,7,9
MNE,0,1,11,1,15,1,0,1,5,5,8
TJK,0,3,4,0,2,4,1,6,8,15,0
LKA,2,4,5,2,6,4,7,4,4,12,0
TGO,0,3,4,1,9,2,4,7,1,14,3
JOR,0,2,14,1,7,0,2,5,7,10,0
CHL,0,3,8,1,13,0,2,2,6,5,5
ESP,0,2,7,1,18,0,3,2,7,6,4
GEO,0,1,10,0,17,0,0,1,3,4,14
MAR,2,3,9,1,12,0,6,5,2,6,4
SWE,6,1,10,3,5,0,6,3,2,10,2
GAB,0,4,9,4,5,11,1,4,5,5,0
MLI,1,2,16,11,4,4,0,6,1,5,0
RUS,0,2,8,0,13,0,0,1,12,5,5
GRD,0,3,2,1,5,7,5,9,3,14,0
YEM,1,2,4,1,5,5,5,4,3,18,1
GHA,0,4,4,2,2,9,3,9,0,13,0
PRT,0,1,8,0,20,0,1,4,9,4,3
MEX,0,3,7,1,18,0,3,2,4,3,4
IND,0,4,13,1,7,1,5,3,7,7,0
PRY,0,3,8,0,17,0,2,2,10,4,3
BLR,0,1,7,0,13,0,0,2,13,5,4
VCT,0,3,9,1,12,0,0,3,10,10,2
UGA,0,4,3,1,6,3,6,8,1,11,5
BDI,0,2,25,1,5,0,0,0,3,0,11
KEN,1,3,0,1,5,4,7,11,2,14,1
IRL,0,2,9,3,15,0,2,3,5,6,4
BWA,2,4,6,1,3,4,4,2,2,18,2
ITA,0,2,10,0,15,0,1,1,9,5,5
ZAF,2,1,7,0,16,0,1,1,10,7,4
MLT,1,3,9,2,11,0,3,3,5,9,3
ETH,0,5,11,4,8,2,1,3,4,4,6
VUT,0,6,8,0,11,0,0,3,10,5,3
MDG,0,3,10,3,5,5,1,3,7,11,0
CMR,0,4,4,3,5,7,0,5,5,17,0
BEN,0,2,13,13,1,4,0,0,0,0,1
BRA,0,3,6,2,10,1,3,2,6,17,0
SGP,1,5,3,1,8,2,7,3,0,19,1
SLB,0,2,8,1,16,0,0,3,5,6,6
ISL,0,1,9,1,15,0,3,4,1,7,7
LCA,1,1,3,3,8,2,3,9,0,8,2
CRI,0,2,10,1,10,0,2,2,12,5,3
SVN,0,2,12,0,15,0,0,0,11,5,5
DEU,0,2,9,1,10,0,6,3,10,6,3
DMA,2,4,1,0,18,3,2,3,6,8,0
SUR,0,5,4,1,9,0,3,5,7,11,2
TON,0,3,8,1,17,0,0,4,6,6,5
MDV,1,4,14,1,11,0,0,3,9,6,1
SLV,0,4,7,1,11,0,6,2,9,8,0
POL,1,2,9,1,9,1,4,3,7,8,2
IDN,0,7,2,0,11,2,3,2,4,13,0
CPV,0,3,6,1,7,3,2,4,2,6,4
LIE,1,1,15,3,4,2,4,0,8,3,8
MCO,7,4,6,0,22,0,4,0,1,6,0
JAM,0,3,0,2,2,13,5,8,0,16,0
SYC,1,3,7,4,9,1,0,0,8,11,2
AGO,0,2,1,2,4,5,6,5,2,23,0
MMR,0,3,1,0,7,1,3,4,12,7,11
PAK,1,3,9,2,10,1,6,4,4,8,0
NAM,0,3,9,0,8,1,4,3,15,3,4
IND,0,4,13,1,7,1,5,3,7,7,0
LSO,0,0,0,0,0,2,0,0,0,0,0
SEN,1,1,5,5,11,3,2,7,1,11,1
MOZ,1,2,13,2,9,1,0,3,8,4,5
UGA,0,4,3,1,6,3,6,8,1,11,5
KEN,1,3,0,1,5,4,7,11,2,14,1
TWN,2,5,2,1,5,2,8,2,0,19,0
BLZ,0,3,10,2,12,1,2,1,10,8,0
TJK,0,3,4,0,2,4,1,6,8,15,0
BWA,2,4,6,1,3,4,4,2,2,18,2
BRB,0,2,3,7,1,9,3,7,2,15,0
BRA,0,3,6,2,10,1,3,2,6,17,0
AFG,0,1,8,1,15,1,1,3,6,5,9
SAU,1,3,3,1,8,1,6,5,1,21,0
VEN,0,3,5,1,10,1,4,3,7,14,1
PLW,1,5,1,1,6,2,2,9,2,18,2
BTN,4,2,0,0,24,2,1,1,3,6,6
SDN,0,2,0,2,5,6,2,9,2,18,1
KWT,0,2,1,2,2,3,8,4,1,27,0
PAN,0,3,6,1,7,1,7,3,8,13,0
SGP,1,5,3,1,8,2,7,3,0,19,1
BHS,0,2,1,1,4,8,3,10,0,21,0
ETH,0,5,11,4,8,2,1,3,4,4,6
RWA,0,2,3,2,11,6,2,11,4,7,0
SWZ,0,1,0,1,2,9,6,5,0,10,7
ARE,1,2,5,1,11,1,7,5,4,13,0
GAB,0,4,9,4,5,11,1,4,5,5,0
NGA,0,2,0,1,2,6,4,16,1,12,0
CMR,0,4,4,3,5,7,0,5,5,17,0
MWI,0,1,2,2,1,3,2,23,4,10,0
BEN,0,2,13,13,1,4,0,0,0,0,1
GHA,0,4,4,2,2,9,3,9,0,13,0
CUB,0,2,4,1,6,3,4,5,11,12,2
BHR,1,4,5,2,8,2,4,6,1,16,1
LCA,1,1,3,3,8,2,3,9,0,8,2
MLI,1,2,16,11,4,4,0,6,1,5,0
MNE,0,1,11,1,15,1,0,1,5,5,8
MDG,0,3,10,3,5,5,1,3,7,11,0
KNA,1,3,7,2,7,5,0,7,3,11,2
LKA,2,4,5,2,6,4,7,4,4,12,0
TGO,0,3,4,1,9,2,4,7,1,14,3
ZWE,3,3,3,4,6,7,2,3,2,17,0
ZMB,0,1,1,1,15,2,1,7,5,17,0
THA,0,4,3,1,11,1,7,2,4,17,0
HTI,0,4,1,1,11,3,5,3,1,16,3
IRQ,1,3,10,0,4,2,6,4,1,16,2
DOM,0,2,5,1,11,1,6,4,5,10,2
DMA,2,4,1,0,18,3,2,3,6,8,0
NOR,0,1,9,1,8,1,8,5,2,13,1
NLD,1,3,9,3,12,1,6,2,4,7,0
CHN,0,3,3,1,4,3,5,4,1,23,0
MYS,0,6,2,1,8,2,5,4,4,18,0
DNK,0,3,9,3,3,2,6,3,3,15,1
PHL,0,6,1,0,4,2,7,3,2,24,0
IDN,0,7,2,0,11,2,3,2,4,13,0
CPV,0,3,6,1,7,3,2,4,2,6,4
MUS,1,2,5,1,7,2,5,4,4,16,1
FJI,0,2,2,2,13,1,4,6,1,15,3
LIE,1,1,15,3,4,2,4,0,8,3,8
ATG,0,3,0,1,3,7,5,6,0,25,0
GUY,0,2,1,0,6,4,2,9,10,15,0
OMN,1,4,3,1,16,1,5,4,3,10,1
GRD,0,3,2,1,5,7,5,9,3,14,0
TTO,0,3,1,1,5,3,5,10,1,20,1
YEM,1,2,4,1,5,5,5,4,3,18,1
POL,1,2,9,1,9,1,4,3,7,8,2
AZE,0,2,8,2,13,0,1,2,6,6,8
SEN,1,1,5,5,11,3,2,7,1,11,1
MLT,1,3,9,2,11,0,3,3,5,9,3
HUN,0,2,7,1,11,0,6,4,8,7,4
TWN,2,5,2,1,5,2,8,2,0,19,0
CYP,0,1,15,2,10,0,3,1,9,7,1
BRB,0,2,3,7,1,9,3,7,2,15,0
BTN,4,2,0,0,24,2,1,1,3,6,6
LTU,1,2,11,1,13,0,3,1,7,6,5
MNG,0,3,3,1,14,0,1,8,1,4,13
GBR,0,2,9,3,13,0,2,3,6,7,4
TUN,0,1,11,2,9,0,3,5,2,6,11
RWA,0,2,3,2,11,6,2,11,4,7,0
ARG,0,3,9,1,12,0,2,2,9,3,5
NOR,0,1,9,1,8,1,8,5,2,13,1
BHR,1,4,5,2,8,2,4,6,1,16,1
AUS,0,1,5,1,16,0,3,5,5,10,3
CUB,0,2,4,1,6,3,4,5,11,12,2
ZMB,0,1,1,1,15,2,1,7,5,17,0
GTM,0,3,10,1,10,0,4,2,12,6,0
ZWE,3,3,3,4,6,7,2,3,2,17,0
BEL,0,1,12,2,14,0,2,4,5,6,3
HTI,0,4,1,1,11,3,5,3,1,16,3
KAZ,0,4,5,0,13,0,1,2,12,6,4
NLD,1,3,9,3,12,1,6,2,4,7,0
PRT,0,1,8,0,20,0,1,4,9,4,3
DNK,0,3,9,3,3,2,6,3,3,15,1
PHL,0,6,1,0,4,2,7,3,2,24,0
MDA,0,2,10,0,10,0,1,2,12,6,4
LVA,0,1,8,0,15,0,2,4,9,7,3
NAM,0,3,9,0,8,1,4,3,15,3,4
LKA,2,4,5,2,6,4,7,4,4,12,0
BGR,0,2,11,1,6,0,2,3,15,6,4
JAM,0,3,0,2,2,13,5,8,0,16,0
AGO,0,2,1,2,4,5,6,5,2,23,0
LBN,2,1,10,2,14,0,2,4,3,6,3
MYS,0,6,2,1,8,2,5,4,4,18,0
NIC,1,2,5,1,10,0,6,2,2,18,1
BRA,0,3,6,2,10,1,3,2,6,17,0
AFG,0,1,8,1,15,1,1,3,6,5,9
QAT,1,4,6,2,13,0,4,3,2,14,1
PLW,1,5,1,1,6,2,2,9,2,18,2
TKM,0,2,5,0,9,0,1,1,22,0,6
SDN,0,2,0,2,5,6,2,9,2,18,1
KWT,0,2,1,2,2,3,8,4,1,27,0
PAN,0,3,6,1,7,1,7,3,8,13,0
LUX,1,3,12,1,12,0,5,1,6,5,4
VEN,0,3,5,1,10,1,4,3,7,14,1
ARE,1,2,5,1,11,1,7,5,4,13,0
MDG,0,3,10,3,5,5,1,3,7,11,0
TTO,0,3,1,1,5,3,5,10,1,20,1
CHN,0,3,3,1,4,3,5,4,1,23,0
THA,0,4,3,1,11,1,7,2,4,17,0
IRQ,1,3,10,0,4,2,6,4,1,16,2
OMN,1,4,3,1,16,1,5,4,3,10,1
FIN,0,1,6,1,3,0,5,3,5,6,0
MUS,1,2,5,1,7,2,5,4,4,16,1
ATG,0,3,0,1,3,7,5,6,0,25,0
DOM,0,2,5,1,11,1,6,4,5,10,2
PAK,1,3,9,2,10,1,6,4,4,8,0
ROU,1,2,8,1,13,0,3,4,7,6,5
IRL,0,2,9,3,15,0,2,3,5,6,4
CZE,0,2,11,1,12,0,1,1,10,7,5
MMR,0,3,1,0,7,1,3,4,12,7,11
EGY,1,3,10,1,8,0,6,4,5,8,0
USA,0,1,8,1,15,0,3,6,5,9,1
AUT,1,2,8,0,14,0,2,2,10,6,3
COL,0,3,9,1,15,0,3,2,7,4,2
WSM,1,0,2,0,0,0,1,0,1,4,0
NZL,0,1,6,1,13,0,3,6,7,9,3
FJI,0,2,2,2,13,1,4,6,1,15,3
TUR,1,2,9,3,11,0,2,2,3,6,6
SAU,1,3,3,1,8,1,6,5,1,21,0
BLZ,0,3,10,2,12,1,2,1,10,8,0
BGD,0,5,11,1,7,0,3,3,10,7,0
URY,0,3,10,1,12,0,3,2,7,7,2
FRA,0,2,7,4,16,0,3,4,4,5,5
BHS,0,2,1,1,4,8,3,10,0,21,0
SVK,0,2,9,1,13,0,1,1,9,6,6
SWZ,0,1,0,1,2,9,6,5,0,10,7
NGA,0,2,0,1,2,6,4,16,1,12,0
BOL,0,3,10,1,11,0,3,1,12,6,2
MWI,0,1,2,2,1,3,2,23,4,10,0
ECU,0,3,11,1,11,0,4,2,7,6,2
PER,0,3,7,1,13,0,3,2,7,9,3
DZA,1,4,9,2,7,0,5,4,6,9,1
SRB,0,1,11,2,11,0,1,2,6,7,9
TJK,0,3,4,0,2,4,1,6,8,15,0
TGO,0,3,4,1,9,2,4,7,1,14,3
JOR,0,2,14,1,7,0,2,5,7,10,0
CHL,0,3,8,1,13,0,2,2,6,5,5
ESP,0,2,7,1,18,0,3,2,7,6,4
MAR,2,3,9,1,12,0,6,5,2,6,4
SWE,6,1,10,3,5,0,6,3,2,10,2
GAB,0,4,9,4,5,11,1,4,5,5,0
GUY,0,2,1,0,6,4,2,9,10,15,0
GRD,0,3,2,1,5,7,5,9,3,14,0
YEM,1,2,4,1,5,5,5,4,3,18,1
GHA,0,4,4,2,2,9,3,9,0,13,0
EST,0,2,7,1,15,0,5,3,5,8,4
MEX,0,3,7,1,18,0,3,2,4,3,4
IND,0,4,13,1,7,1,5,3,7,7,0
UGA,0,4,3,1,6,3,6,8,1,11,5
PRY,0,3,8,0,17,0,2,2,10,4,3
KEN,1,3,0,1,5,4,7,11,2,14,1
BWA,2,4,6,1,3,4,4,2,2,18,2
ITA,0,2,10,0,15,0,1,1,9,5,5
ZAF,2,1,7,0,16,0,1,1,10,7,4
KHM,1,1,4,2,15,0,4,4,1,8,9
ETH,0,5,11,4,8,2,1,3,4,4,6
CHE,2,2,9,3,10,0,7,2,4,8,3
CAN,0,1,7,1,14,0,2,5,8,11,0
SGP,1,5,3,1,8,2,7,3,0,19,1
ISL,0,1,9,1,15,0,3,4,1,7,7
LCA,1,1,3,3,8,2,3,9,0,8,2
CRI,0,2,10,1,10,0,2,2,12,5,3
HND,0,3,8,0,9,0,6,4,6,8,3
DEU,0,2,9,1,10,0,6,3,10,6,3
DMA,2,4,1,0,18,3,2,3,6,8,0
SUR,0,5,4,1,9,0,3,5,7,11,2
SLV,0,4,7,1,11,0,6,2,9,8,0
POL,1,2,9,1,9,1,4,3,7,8,2
IDN,0,7,2,0,11,2,3,2,4,13,0
CPV,0,3,6,1,7,3,2,4,2,6,4
LIE,1,1,15,3,4,2,4,0,8,3,8
MCO,7,4,6,0,22,0,4,0,1,6,0
AZE,0,2,8,2,13,0,1,2,6,6,8
UZB,0,4,8,0,10,0,0,2,14,7,2
SEN,1,1,5,5,11,3,2,7,1,11,1
MLT,1,3,9,2,11,0,3,3,5,9,3
HUN,0,2,7,1,11,0,6,4,8,7,4
TWN,2,5,2,1,5,2,8,2,0,19,0
CYP,0,1,15,2,10,0,3,1,9,7,1
BRB,0,2,3,7,1,9,3,7,2,15,0
BTN,4,2,0,0,24,2,1,1,3,6,6
LTU,1,2,11,1,13,0,3,1,7,6,5
MNG,0,3,3,1,14,0,1,8,1,4,13
GBR,0,2,9,3,13,0,2,3,6,7,4
TUN,0,1,11,2,9,0,3,5,2,6,11
RWA,0,2,3,2,11,6,2,11,4,7,0
ARG,0,3,9,1,12,0,2,2,9,3,5
NOR,0,1,9,1,8,1,8,5,2,13,1
GHA,0,4,4,2,2,9,3,9,0,13,0
AUS,0,1,5,1,16,0,3,5,5,10,3
CUB,0,2,4,1,6,3,4,5,11,12,2
ZMB,0,1,1,1,15,2,1,7,5,17,0
GTM,0,3,10,1,10,0,4,2,12,6,0
ZWE,3,3,3,4,6,7,2,3,2,17,0
BEL,0,1,12,2,14,0,2,4,5,6,3
HTI,0,4,1,1,11,3,5,3,1,16,3
KAZ,0,4,5,0,13,0,1,2,12,6,4
MRT,2,0,9,11,10,0,0,2,2,0,5
KGZ,0,1,9,0,9,0,0,1,16,1,4
NLD,1,3,9,3,12,1,6,2,4,7,0
PRT,0,1,8,0,20,0,1,4,9,4,3
DNK,0,3,9,3,3,2,6,3,3,15,1
PHL,0,6,1,0,4,2,7,3,2,24,0
DJI,0,0,16,0,8,0,0,4,16,2,0
MDA,0,2,10,0,10,0,1,2,12,6,4
LVA,0,1,8,0,15,0,2,4,9,7,3
HRV,0,1,14,0,14,0,0,1,8,6,6
CHE,2,2,9,3,10,0,7,2,4,8,3
BGR,0,2,11,1,6,0,2,3,15,6,4
JAM,0,3,0,2,2,13,5,8,0,16,0
ALB,0,2,7,2,17,0,0,4,3,8,7
AGO,0,2,1,2,4,5,6,5,2,23,0
SRB,0,1,11,2,11,0,1,2,6,7,9
MYS,0,6,2,1,8,2,5,4,4,18,0
MOZ,1,2,13,2,9,1,0,3,8,4,5
GRC,0,1,14,1,12,0,0,1,5,6,9
NIC,1,2,5,1,10,0,6,2,2,18,1
BRA,0,3,6,2,10,1,3,2,6,17,0
AFG,0,1,8,1,15,1,1,3,6,5,9
QAT,1,4,6,2,13,0,4,3,2,14,1
PER,0,3,7,1,13,0,3,2,7,9,3
PLW,1,5,1,1,6,2,2,9,2,18,2
TKM,0,2,5,0,9,0,1,1,22,0,6
SDN,0,2,0,2,5,6,2,9,2,18,1
KWT,0,2,1,2,2,3,8,4,1,27,0
PAN,0,3,6,1,7,1,7,3,8,13,0
NPL,0,5,16,0,4,0,0,1,16,5,0
LUX,1,3,12,1,12,0,5,1,6,5,4
NAM,0,3,9,0,8,1,4,3,15,3,4
VEN,0,3,5,1,10,1,4,3,7,14,1
ARE,1,2,5,1,11,1,7,5,4,13,0
MLI,1,2,16,11,4,4,0,6,1,5,0
KNA,1,3,7,2,7,5,0,7,3,11,2
TTO,0,3,1,1,5,3,5,10,1,20,1
CHN,0,3,3,1,4,3,5,4,1,23,0
ARM,1,3,15,1,11,0,0,2,8,4,3
THA,0,4,3,1,11,1,7,2,4,17,0
IRQ,1,3,10,0,4,2,6,4,1,16,2
UKR,0,2,8,0,14,0,0,2,11,5,5
GMB,0,1,4,1,17,0,0,8,5,8,4
FIN,0,1,6,1,3,0,5,3,5,6,0
MKD,0,1,11,1,10,0,0,1,7,5,13
MUS,1,2,5,1,7,2,5,4,4,16,1
ATG,0,3,0,1,3,7,5,6,0,25,0
EST,0,2,7,1,15,0,5,3,5,8,4
DOM,0,2,5,1,11,1,6,4,5,10,2
PAK,1,3,9,2,10,1,6,4,4,8,0
ROU,1,2,8,1,13,0,3,4,7,6,5
CZE,0,2,11,1,12,0,1,1,10,7,5
MMR,0,3,1,0,7,1,3,4,12,7,11
EGY,1,3,10,1,8,0,6,4,5,8,0
USA,0,1,8,1,15,0,3,6,5,9,1
AUT,1,2,8,0,14,0,2,2,10,6,3
COL,0,3,9,1,15,0,3,2,7,4,2
HND,0,3,8,0,9,0,6,4,6,8,3
NZL,0,1,6,1,13,0,3,6,7,9,3
FJI,0,2,2,2,13,1,4,6,1,15,3
TUR,1,2,9,3,11,0,2,2,3,6,6
AND,1,1,8,2,20,0,0,1,5,4,8
SAU,1,3,3,1,8,1,6,5,1,21,0
BLZ,0,3,10,2,12,1,2,1,10,8,0
BGD,0,5,11,1,7,0,3,3,10,7,0
URY,0,3,10,1,12,0,3,2,7,7,2
FRA,0,2,7,4,16,0,3,4,4,5,5
BHS,0,2,1,1,4,8,3,10,0,21,0
SVK,0,2,9,1,13,0,1,1,9,6,6
SWZ,0,1,0,1,2,9,6,5,0,10,7
NGA,0,2,0,1,2,6,4,16,1,12,0
BOL,0,3,10,1,11,0,3,1,12,6,2
MWI,0,1,2,2,1,3,2,23,4,10,0
ECU,0,3,11,1,11,0,4,2,7,6,2
ISR,0,2,11,1,14,0,0,5,8,5,4
IRL,0,2,9,3,15,0,2,3,5,6,4
DZA,1,4,9,2,7,0,5,4,6,9,1
LBN,2,1,10,2,14,0,2,4,3,6,3
MNE,0,1,11,1,15,1,0,1,5,5,8
TJK,0,3,4,0,2,4,1,6,8,15,0
LKA,2,4,5,2,6,4,7,4,4,12,0
TGO,0,3,4,1,9,2,4,7,1,14,3
JOR,0,2,14,1,7,0,2,5,7,10,0
CHL,0,3,8,1,13,0,2,2,6,5,5
OMN,1,4,3,1,16,1,5,4,3,10,1
ESP,0,2,7,1,18,0,3,2,7,6,4
GEO,0,1,10,0,17,0,0,1,3,4,14
MAR,2,3,9,1,12,0,6,5,2,6,4
SWE,6,1,10,3,5,0,6,3,2,10,2
GAB,0,4,9,4,5,11,1,4,5,5,0
GUY,0,2,1,0,6,4,2,9,10,15,0
RUS,0,2,8,0,13,0,0,1,12,5,5
GRD,0,3,2,1,5,7,5,9,3,14,0
YEM,1,2,4,1,5,5,5,4,3,18,1
BHR,1,4,5,2,8,2,4,6,1,16,1
TCD,0,1,9,1,14,0,0,1,3,3,11
MEX,0,3,7,1,18,0,3,2,4,3,4
IND,0,4,13,1,7,1,5,3,7,7,0
BLR,0,1,7,0,13,0,0,2,13,5,4
VCT,0,3,9,1,12,0,0,3,10,10,2
UGA,0,4,3,1,6,3,6,8,1,11,5
PRY,0,3,8,0,17,0,2,2,10,4,3
KEN,1,3,0,1,5,4,7,11,2,14,1
BWA,2,4,6,1,3,4,4,2,2,18,2
ITA,0,2,10,0,15,0,1,1,9,5,5
ZAF,2,1,7,0,16,0,1,1,10,7,4
KHM,1,1,4,2,15,0,4,4,1,8,9
ETH,0,5,11,4,8,2,1,3,4,4,6
VUT,0,6,8,0,11,0,0,3,10,5,3
MDG,0,3,10,3,5,5,1,3,7,11,0
CMR,0,4,4,3,5,7,0,5,5,17,0
CAN,0,1,7,1,14,0,2,5,8,11,0
SGP,1,5,3,1,8,2,7,3,0,19,1
SLB,0,2,8,1,16,0,0,3,5,6,6
ISL,0,1,9,1,15,0,3,4,1,7,7
LCA,1,1,3,3,8,2,3,9,0,8,2
CRI,0,2,10,1,10,0,2,2,12,5,3
DEU,0,2,9,1,10,0,6,3,10,6,3
DMA,2,4,1,0,18,3,2,3,6,8,0
SUR,0,5,4,1,9,0,3,5,7,11,2
TON,0,3,8,1,17,0,0,4,6,6,5
MDV,1,4,14,1,11,0,0,3,9,6,1
SLV,0,4,7,1,11,0,6,2,9,8,0
POL,1,2,9,1,9,1,4,3,7,8,2
IDN,0,7,2,0,11,2,3,2,4,13,0
CPV,0,3,6,1,7,3,2,4,2,6,4
GMB,0,1,4,1,17,0,0,8,5,8,4
AZE,0,2,8,2,13,0,1,2,6,6,8
UZB,0,4,8,0,10,0,0,2,14,7,2
DJI,0,0,16,0,8,0,0,4,16,2,0
KHM,1,1,4,2,15,0,4,4,1,8,9
JPN,0,3,6,3,4,0,0,0,4,2,2
CYP,0,1,15,2,10,0,3,1,9,7,1
BRB,0,2,3,7,1,9,3,7,2,15,0
BTN,4,2,0,0,24,2,1,1,3,6,6
LTU,1,2,11,1,13,0,3,1,7,6,5
MNG,0,3,3,1,14,0,1,8,1,4,13
GBR,0,2,9,3,13,0,2,3,6,7,4
TUN,0,1,11,2,9,0,3,5,2,6,11
RWA,0,2,3,2,11,6,2,11,4,7,0
ARG,0,3,9,1,12,0,2,2,9,3,5
NOR,0,1,9,1,8,1,8,5,2,13,1
BHR,1,4,5,2,8,2,4,6,1,16,1
AUS,0,1,5,1,16,0,3,5,5,10,3
CUB,0,2,4,1,6,3,4,5,11,12,2
ZMB,0,1,1,1,15,2,1,7,5,17,0
GTM,0,3,10,1,10,0,4,2,12,6,0
ZWE,3,3,3,4,6,7,2,3,2,17,0
BEL,0,1,12,2,14,0,2,4,5,6,3
HTI,0,4,1,1,11,3,5,3,1,16,3
KAZ,0,4,5,0,13,0,1,2,12,6,4
MRT,2,0,9,11,10,0,0,2,2,0,5
KGZ,0,1,9,0,9,0,0,1,16,1,4
NLD,1,3,9,3,12,1,6,2,4,7,0
DNK,0,3,9,3,3,2,6,3,3,15,1
